Area,Nearest hut/Reference,Type,Name,Grade,Prio,Link,notes,done,length,comments,year
Arco,Placche Zebrate,Sportclimb,Via Trento,5,,Bergsteigen.com,,DONE,170,nice and sweet.,2024
Arco,Placche Zebrate,Alpine ,Via Teresa,6,,,,DONE,450,"long adventure, needs good orientation. set by Furlani & Bassi, one of the first routes with climbing shoes of the area",2024
Hohe Wand,Naglplatte,Sportclimb,Verl. Edelweisssteig,5,1,Bergsteigen.com,classic,,,,
Hohe Wand,Fuchsloch,Sportclimb,OAK Jubilaumsweg,6,,Bergsteigen.com,"nice bolting, nice climbing",DONE,150,,2024
Hohe Wand,Naglplatte,Sportclimb,Beserlpark,6,1,Bergsteigen.com,"Plaisirclimb, very bolted. Walk passages inbetween. For Alpineinsteiger",,,,
Hohe Wand,Völlerin,Sportclimb,Hamburger Pfeiler,6,1,Bergsteigen.com,classic,,,,
Hohe Wand,Weningerturm,Sportclimb,Heimaterde,6,1,Bergsteigen.com,"alpine feeling, good bolted. Watchout for exit, see description",,,,
Hohe Wand,Weningerturm,Climb,Sonnenkind,7,1,Bergsteigen.com,"climbs Baumgartnerturm, abseilen then crosses Wildenauersteig",,,,
Hohe Wand,Sonnenuhrwand,Sportclimb,Puzzle für Fortgeschrittene,7,1,Bergsteigen.com,"hard, might take long. Not so near to Skywalker",,,,
Hohe Wand,Sonnenuhrwand,Sportclimb,Kronjuwel,7,2,Bergsteigen.com,"very hard, might take long. all 6.grade with some 7. BUT just beneath Skywalker ",,,,
Hohe Wand,Appesteig/Pechersteiglein,Climb,Appelsteig,2,,Bergsteigen.com,only tree belaying. There's a cave in the middle,,,,
Hohe Wand,Kanzelgrat,Climb,Kanzelsteig,2,,Bergsteigen.com,"Steinschlag, Testamentwandl. Wildenauerclassic. Combine with technikersteig",,,,
Hohe Wand,Völlerin,Climb,Brandlochsteig,2,,Bergsteigen.com,alternative to Tirolers.,,,,
Hohe Wand,Weningerturm,Climb,Turmsteig,2,,Bergsteigen.com,"looks fun. Tower @Wildenauer ferrata. Abseilen.good bolted, combine with Baumgartnerturm. See book for variations",DONE,,,2023
Hohe Wand,Hammerlwand,Climb,Eichertsteig,3,,Bergsteigen.com,classic. Possibly recently renovated,,,,
Hohe Wand,Kanzelgrat,Climb,Wienersteig,3,,Bergsteigen.com,combine with Fredsteig,,,,
Hohe Wand,Naglplatte,Climb,Grafenbergsteig,3,,Bergsteigen.com,close to Terzettsteig,,,,
Hohe Wand,Völlerin,Climb,Tirolersteig,3,,Bergsteigen.com,classic,DONE,400,"overrated,long walks in between, little climbimng",2023
Hohe Wand,Weningerturm,Climb,Weningersteig,3,,see Book,"long runouts, see variations",,,,
Hohe Wand,Teufelsgrat,Alpine ,Teufelsgrat,3,,Bergsteigen.com,,,,,
Hohe Wand,Adalbertwand,Climb,Adalbertsteig,4,,Bergsteigen.com,"alpine feeling, low bolted,take friend ",,,,
Hohe Wand,Kanzelgrat,Climb,Fredsteig,4,,Bergsteigen.com,For KK training. But prob. recently updated safety. Look for Fredi Variation,,,,
Hohe Wand,Fuchsloch,Sportclimb,Reinecke Fuchs,5,,Bergsteigen.com,loose rocks,,,,
Hohe Wand,Fuchsloch,Sportclimb,Norbertsteig,5,,Bergsteigen.com,Loose rocks. Combine with Austriasteig,,,,
Hohe Wand,Hammerlwand,Sportclimb,Hammerlsteig,5,,see Book,not too bolted ,,,,
Hohe Wand,Weningerturm,Sportclimb,Schillerkamin,5,,Bergsteigen.com,runouts. Combi wih Freundschaftssteig possible,,,,
Hohe Wand,Draschgrat,Sportclimb,Betty&Paul,6,,Bergsteigen.com,classic,DONE,250,"just great, last 2 SLmissing becuase ended up on Alter WOlf",2024
Hohe Wand,Draschgrat,Sportclimb,Traum&Wirklichkeit,6,,Bergsteigen.com,,DONE,250,"Just great, some loose rocks in first half. last SL missing bec. Fortunato tired. completed in 2024",2024
Hohe Wand,Hochfallwand,Sportclimb,Grunbachersteig,6,,Bergsteigen.com,2SL,,,,
Hohe Wand,Hochfallwand,Sportclimb,Danglweg,6,,Bergsteigen.com,2 Sl.. Must,,,,
Hohe Wand,Babywand,Sportclimb,D'Habergoass,7,,Bergsteigen.com,"great, generous bolting. See nearby routes for easier options. Eine stelle 7+(6-)",,,,
Hohe Wand,Kanzelgrat,Sportclimb,Tiwaz,7,,Bergsteigen.com,modern classic,,,,
Hohe Wand,Krummer Ries,Sportclimb,Auf Wildenauer Spuren,6,,Bergsteigen.com,constantly difficult,DONE,220,hard single moves and constant grade. great bolting. pers. grade 7-,2024
Hohe Wand,Totenkopfl,Alpine ,EB-Platte,7,,Bergsteigen.com,"hard, needs KK, alpine",,,,
Hohe Wand,Bergkameradenwand,Alpine ,Truffelschwein,7,,Bergsteigen.com,"hard, needs Friends, alpine",,,,
Hohe Wand,Fuchsloch,Sportclimb,Almauftrieb,7,,https://www.bergsteigen.com/touren/klettern/almauftrieb-hohe-wand/,3 hard pitches. A0,,220,,
Hohe Wand,Fuchsloch,Sportclimb,Junge Fuchsin,7,,https://www.bergsteigen.com/touren/klettern/junge-fuechsin-hohe-wand/,"constant 6. grade, not A0. ",,230,,
Mixnitz,Nadelspitz,Alpine ,Sudkante ,5,,Bergsteigen.com,just found it there,DONE,120,"great, scenic adventure. alpine touch",2024
Rax,Wachthüttelturm,Alpine ,Wachthüttelwandkamine,4,1,Bergsteigen.com,"best kamin of the area, alpine bolting.one giant kamin",,110,,
Rax,Wachthüttelturm,Sportclimb,Weichtalwichtel,6,1,Bergsteigen.com,"Plaisir, starts at 1500",,150,,
Rax,Blechmauer,Sportclimb,King Kong Koarl,6,1,Bergsteigen.com,"plaisir, short approach. Full 6. grade",,150,,
Rax,Wachthüttelturm,Sportclimb,Via Helma,7,1,Bergsteigen.com,"plaisir, A0, diverse climbing, risse, wide cracks etc",,150,,
Rax,Gamseck,Alpine ,Wildes Gamseck,2,,Bergsteigen.com,nice way up the plateu. Rope ?,,150,,
Rax,Preinerwandplatte,Alpine ,Westweg Preinerwand,3,,Bergsteigen.com,looks fun. Matchable with harder routes,,,,
Rax,Obere Preinerwand,Sportclimb,Raxagonia,6,,Bergsteigen.com,see combination at obere Preinerwand. Linl with endlich Herbst,,100,,
Rax,Preinerwandplatte,Sportclimb,Mit göttlicher Hand,6,,Bergsteigen.com,"short overhang, long slab",,,,
Rax,Lechnermauern,Alpine ,Kowelkapfeiler,6,,Bergsteigen.com,"long approach, full alpine. KK & Friends. Starts at 1500. also check bartlrisse",,300,,
Rax,Blechmauer,Alpine ,Blechmauern Verschneidung,6,,Bergsteigen.com,"hard classic, varied climbing. Bring KK . Def challenging",,220,,
Rax,Raxenmauer,Sportclimb,Martinsturm Südwand,7,,Bergsteigen.com,"classic, riss-overhang. Friends!",,90,,
Rax,Blechmauer,Sportclimb,Gelber Oktober,7,,Bergsteigen.com,"constant hard, sport bolted, verz long. short zustieg. 7+",,360,,
Rax,Vordere Klobenwand,Sportclimb,Zwida Wurzn,7,,Bergsteigen.com,"nice and hard passages,full 7. grade.7+",,190,,
Schneeberg,Krumme Ries,Alpine ,Gamslgartlgrat,4,1,Bergsteigen.com,"starts at 1500, goes almost to top. Longer than BurkleSteig.both to combine with RHG-Grat",,450,,
Schneeberg,Dämmbockhaus,Climb,Herminensteig,1,,Bergsteigen.com,combine with Nandlgrat. AV guy told it's hard (!?),,,,
Schneeberg,Fischerhütte,Alpine ,Nandlgrat,1,,Bergsteigen.com,good for winter BUT avalanche danger!,,,,
Schneeberg,Krumme Ries,Alpine ,Novembergrat,1,,Bergsteigen.com,,,,,
Schneeberg,Weichtalhaus,Alpine ,Stadelwandgrat,3,,Bergsteigen.com,"good for winter, but hard !",,,,
Schneeberg,Krumme Ries,Alpine ,Bürklesteig,3,,Bergsteigen.com,"also in winter, but attention. No stands",,,,
Schneeberg,Stadelwand,Alpine ,Dir. Richterkante,6,,Bergsteigen.com,"alpine feeling, long, adventorous",DONE,300,"long, scenic adventure with long runouts on easy bits, but good bolted on hard moves",2024
Schneeberg,Vordere Stadelwand,Sportclimb,Welcome to Stadliwand,7,,Bergsteigen.com,"full 6. to 7. grade, well bolted. shrter than others. maybe good to start",,90,,
Schneeberg,Stadelwand,Sportclimb,Durststrecke,7,,Bergsteigen.com,"full 6. to 7. grade, well bolted. "" unteren 6ten Grat bis zu 4 Meter über den letzten BH"".Longest route here",,450,,
Schneeberg,Stadelwand,Sportclimb,Des Kessels neue Kleider,7,,Bergsteigen.com,lighter alternative to Durststecke. Full 6. grade. also very long,,450,,
Schneeberg,Grossofen,Alpine ,TBD,TBD,,TBD,"Himmelslieter OR Sonnenplattenweg OR Joe Stickler Weg. Same length , dif grades and character",,350,,
Wachau,Kummerstal,Sportclimb,Wachauergrat,6,1,Bergsteigen.com,"overall sport bolted. Shrter brother ""Don Bosco"" easier but to integrate with mobile",DONE,350,,2024
Wachau,Nasenwand,Climb,Bergrettungsweg,6,,Bergsteigen.com,just found it there,DONE,150,"avoid 1SL , take route to the left. Rest is super nice",2024
Dachstein,Gosauseen,Alpine ,Gosauseen Triathlon,5,,Gosauseetriathlon,Goes from Gosausee to Adamek,DONE,580,"half slab, half vertical. great",2024
Salzkammergut,Fuschl am See,Alpine ,Schober Sudgrat,5,,Schober Südgrat - Frauenkopf,,DONE,230,"nice, very glassy",2024
Hohe Wand,Draschgrat,Sportclimb,Draschgrat,4,,,done in all version a few times. my first MP ever,DONE,220,classic beginner material ,2023
Salzkammergut,Plombergstein,Sportclimb,Juniperus,5,,,not sure was this one. but they all are similar there,DONE,150,,2023
Palermo,Monte Pellegrino,Alpine,Via diretta monte Pellegrino,6,,,"many variations, not easy to stay on the line",DONE,230,nice,2024
S. Vito lo Capo,Monte Monaco,Alpine,Via fratelli Tit,5,,,beautiful,DONE,450,great varied climbing,2024
S. Martino,Cimone,Alpine,normale Cimone pala,3,,,reaches over 3000m. the only 3. grade climbing pitch is bolted,DONE,100,easy and scary,2024
Bolzano,Glaning,Sportclimb,Sonntagsspaziergang,6,,,,DONE,280,beautiful line on great rock,2024
finale ligure,Pianarella,Alpine,Via lunga,6,,Pianarella - Via Lunga - Vie Lunghe Finale - Arrampicata - Climbing,,DONE,330,very nice. stopped at half to practice abseiling,2024
Sulcis,Pranu sartu,Sportclimb,il canto del sifone,5,,,,DONE,100,nice,2024
Sulcis,Pranu sartu,Sportclimb,thalassa,5,,,,DONE,100,beautiful middle pitch,2024
Hohe Wand,Seiser Toni,Sportclimb,Zentennium,6,,Bergsteigen.com,first with Jessie,DONE,235,hard crux is A0able,2023
Bolzano,Glaning,Trad,Hoppetosse,5,,,first trad,DONE,155,"nice experience, abseiled over route. ugly climbing though",2024
Schlern,,Trad,Schell 8er,7,,"""Schell 8er (VII)"" Santnerspitze, Schlern - Alpenverein Südtirol","one 7- and one 6+, both crack. mhhh rest is max 5+",,200,,
Bolzano,Glaning,Sportclimb,Dirty Flirty,5,,"""Dirty Flirty (5b+/c)"", Glaning, Bozen - Alpenverein Südtirol",,DONE,,"with benni, not nice route",2024
Fanis,Sass dles No,Trad,Herz uber Kopf,7,,"""Herz über Kopf (VII-)""Sass dles Nö, Fanis, - Alpenverein Südtirol","long, central part is hardisch with some 6/7 pitsches",,500,,
Brenta,Rif. Agostini,Alpine,Sogni dolomitici,7,,"""Sogni dolomitici (VII-)"" Cima d'Ambiez, Brentagruppe - Alpenverein Südtirol","all pythons, mobile protection is meant to be easy to integrate",,250,,
Fanis,Sass dles No,SemiAlpine,Gana tla pera,7,,"""Gana tla pera (VII-)""Sass dles Nö, Fanis - Alpenverein Südtirol","slabs all the way, looks beautifull",,380,,
Bolzano,Unterglaning,Sportclimb,Vaterfreuden,7,,"""Vaterfreuden(6b+)"", Glaning, Bozen - Alpenverein Südtirol",,,150,,
Pragser Dolomiten,Gumpalspitzen,Alpine,Hoassteifl,6,,"""Hoassteifl"" (VI-), Gumpalspitzen, Pragser Dolomiten - Alpenverein Südtirol","looks nice, cracks at start",,220,,
Sexten,Westliche Zinne,Alpine,Gretaline,5,,"""Gretaline (V)"", Westliche Zinne - Alpenverein Südtirol",looks amazing ,,450,,
Groden,Valle lunga,Alpine,,5,,,,DONE,,as second with Zeppe. one 5+ pitch was hard. quite garden-like overall,2025
S. Martino,Pradidali,Alpine,Spigolo del Vecio,5,,,,DONE,,"beautiful rock and climb, good to protect.",2025
Arco,Lastoni di Dro,Sportclimb,,5,,,,DONE,,"nice slab, but monotonous. wet was more fun",2025
Peru,Huaraz,Sportclimb,No name,6,,,,DONE,,"first multipitch after a while, was scary",2025
,Mojazza,,il bombo,,,,,,,,
,Mojazza,,il topo,,,,,,,,
,Mojazza,,etc.,,,,,,,,
,Campanile valmontanaia,,?,,,,,,,,
,?,,Antispigolo sasso bosconero,,,,,,,,
,S. Martino,,,,,,,,,,
